 8f0af  503d55 5cae98   
 32e4c4 35cfab 6e42df   
 28c219 560801 5ac279   
 2829f6 4a351f 2bb850   
 3b9643 7c338e 57cd5f   
 6cd0d3 6f78d0 26eb4c
 350397 5f230  6f8c54  
 213667 402e99 14c158   
 5d855c 18adf1 6aebe3   
 59ecb9 1183ee 7857b1   
 5add8e 2aa4a1 3ed0b4   
 d0a17  817d5  334625
 496e48 73fbd3 26e728   
 34d159 1f98ff 7d1f1a   
 71f16e 67ad52 98bd     
 5bfa2a 688a40 245b98   
 386ada 4919cd 39b3e9   
 12b388 14173a 73e3c0
 784ca7 36bd0a 20b544   
 1b97e6 3b67fe 1fe925   
 620444 3f75b4 72fa6c   
 69c5b0 4e4dfa 63be6f   
 41d77f 4e5a1b 68324b   
 31e187 3a109c 2a40dd
 55bac  687c08 5ce9d4  
 17de00 2adef7 b364f    
 61344b 7f7de1 394239   
 20eb37 186a64 776f81   
 43e8fa 7fbfd9 7a0031   
 1cfc06 1299ac 37c1ad 
 5b1f13 4b6fe  c7d4    
 2c0dbc 509fb3 2b2c21   
 206c2c 475b36 5a92f0   
 11aebf 75cd2a 5e755d   
 3e6545 5a455c 23e40e   
 758f38 1a7a07 7a3f5a 
 638498 733af1 5683a   
 38b0b7 12e88f 1652b6   
 5fcbb5 664680 1c7fe9   
 31fc70 498cd2 1d80c7  
 3d92fb 79f4e7 732c96  
 40bcbd 44bbec 5ef2e2 
 3bafc0 51eeb0 13fcd0
 6e7122 6fcdc0 473647 
 752138 d3c2c  622085 
 eb8c9  540a09 de0f0
 69d5ce 5eaf2e 7cf922 
 6f7a26 5aa9b8 321f99 
 3ca304 4933e2 7cf9ce
 879ee  5360b0 5e0a74 
 176489 179a7f 751f9a 
 663f57 7335ab 5c6d82 
 7e5de3 17de05 67bc03 
 7864c3 53d395 3dd772 
 1adc48 4b890  330642
 37f53  20e7e9 638fdc 
 4473b0 19600b 33199c 
 7fc101 4f2f6a 17fcc6 
 3ea6c0 7a6ca0 6d94bf 
 38a990 184328 ef6c6
 70fd76 692624 251f8d
 e179f  59b045 7cd94b 
 22d55d 2c079c 27ed60 
 1babac 355d6b 23353b
