32e4c4 71d156 481230
28c219 a4f1   229ae6
2829f6 56732e 435731
3b9643 555509 76d59e
6cd0d3 22baa3 479cad
350397 738e0f 6b5508
213667 427394 43fbcc
5d855c 4dfea0 764ddd
59ecb9 13a763 75f3b3
5add8e 320795 510be7
d0a17  16acc6 378d8e
496e48 7a0dd4 1193a2
34d159 71380  218abb
71f16e 18d0d4 4848f7
5bfa2a 46b221 335c2f
386ada 40f615 9b9aa 
12b388 57b742 4eb2cc
784ca7 6eb90b 290b41
1b97e6 5f392f 40eefe
620444 2f0c8b 5ae7b0
69c5b0 4e5c24 297041
41d77f 72e9c8 5df978
31e187 55deed 372b97
55bac  128eab 574cb1
17de00 1ff6fd 3f8104
61344b 7f3ac7 542564
20eb37 2a3335 e423c 
43e8fa 79ab07 353688
1cfc06 753195 679119
5b1f13 1bd87e 52c08b
2c0dbc 115513 1bc697
206c2c 7bdfe7 60a11b
11aebf 4b3f56 79cdd7
3e6545 273d2d 387902
758f38 4861b2 314c32
638498 4748e3 fc547 
38b0b7 291b7e fba39 
5fcbb5 1deb51 3bad33
31fc70 145621 5284c9
3d92fb 25cb08 69ab84
40bcbd 63eb74 2a7b8c
3bafc0 3bd2cf 7cde3a
6e7122 7c67ca 60b916
752138 26a712 70ef43
eb8c9  32ebdb 600768
69d5ce 5b09bb 351f7e
6f7a26 4ede51 728df4
3ca304 c27da  50551c
879ee  574867 7041c3
176489 54f80  152f2c
663f57 703a48 5b29a4
7e5de3 41938d 3cfc0b
7864c3 614498 3c6312
1adc48 37fd0c 29b4f2
37f53  6ed6b1 5e8d94
4473b0 93ce2  5ce0cf
7fc101 70e8c3 2f5afd
3ea6c0 67c47c 66618e
38a990 7c9260 34ae75
70fd76 7ab2da 36ce73
e179f  9a151  6d7c47
22d55d 6556cb 1f4fda
1babac 69e881 75fd00
549a5c 192725 14d290
