 af   b    6f3 
 4c4  ca0  878 
 219  328  21e 
 9f6  624  272 
 643  45   bac 
 d3   79c  aa4 
 397  831  1ec 
 667  16e  43e 
 55c  9ea  9ce
 cb9  9b4  410 
 a17  7f0  23c 
 159  287  e4  
 16e  85c  b7  
 a2a  5ef  cb4 
 ada  73a  31c 
 388  ab2  ad8 
 ca7  b4e  a18 
 7e6  22f  a51
 444  67e  c04 
 5b0  3be  966 
 77f  1cd  2c9 
 187  cd3  539 
 bac  469  193 
 44b  44d  8b6 
 b37  443  4c2 
 8fa  787  cbe 
 c06  5a0  a15
 c2c  c21  514 
 545  14b  369 
 498  c44  5e9 
 b7   e6   ce6 
 bb5  25f  b16 
 c70  2fb  a56 
 2fb  bf1  44f 
 cbd  84e  ac9 
 122  9ab  31b
 138  64c  541 
 8c9  67a  8   
 5ce  7e0  650 
 a26  97c  555 
 304  beb  c57 
 9ee  208  a81 
 489  6b4  4c1 
 4c3  65e  72b 
 c48  b61  200
 3b0  6cf  7a0 
 101  996  535 
 6c0  b8   51e 
 990  8b5  74a 
 79f  622  975 
 55d  70c  855 
 bac  104  bc1 
 a5c  2c   1ca 
 2fc  537  796
 647  514  6c1
 917  32b  b1b
 ae9  9b1  814
 b23  912  cd8
 5c0  8b8  346
 53d  a95  1fb
 587  7b2  b89
 497  879  994
 5c   12   1ea
