12d6d0 604 
144be5 8fa
3fbc04 9c9
3a241b 59b 
9678b  4c3 
eef2f  f5  
74d7c  5ca 
8e060  b13 
8c8bac ca2
364fce c4  
e5704  b30 
a7cf4  870 
1c2652 259 
59503e d9  
12bef8 15a 
9e4d75 980 
44473e 68d
127ed8 b41
2dcfa0 56  
1d2a1c 1b4 
102685 4e4 
657d98 743 
2872a4 3a8 
668df3 928 
59226c 63a 
101c0a 2c9 
4c4fdc 617
241038 3af 
1c0770 859 
44223  9b3 
3c170a 8b8 
804300 d5  
155733 c16 
5adc1a 9c9 
d4e5e  3cf 
9aef0  4eb
632d1a 43  
4164b8 93b 
8182f2 22c 
1f61a0 66f 
54ac82 a3d 
4253a  745 
35752e c3  
1def80 8d6 
213760 574
b3227  27d 
191a00 174 
45b3a0 837 
5d98b8 9bf 
277dc9 1ed 
1c7eec 155 
513744 270 
1223b0 369 
28b464 4c2
354bdb 89c 
7d2b21 927 
442b3d a02 
2399c0 973 
4c9c2  cd5 
45911a 4b1 
30bb32 587 
28f8   598 
157ec0 96c
2a15c0 3fc 
